Australian Bureau of Statistics

"2021 Census - counting persons, place of enumeration"
"SA4 (EN) by AGE5P Age in Five Year Groups and SEXP Sex"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGE5P Age in Five Year Groups","0-4 years",,"5-9 years",,"10-14 years",,"15-19 years",,"20-24 years",,"25-29 years",,"30-34 years",,"35-39 years",,"40-44 years",,"45-49 years",,"50-54 years",,"55-59 years",,"60-64 years",,"65-69 years",,"70-74 years",,"75-79 years",,"80-84 years",,"85-89 years",,"90-94 years",,"95-99 years",,"100 years and over",,"Total",,
"SEXP Sex","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",
"SA4 (EN)",
"Capital Region",6619,6309,7380,6804,7888,7237,7026,6358,6277,5773,6909,6819,7191,7366,7138,7290,6590,7037,7747,7759,8211,8689,8825,8962,9245,9190,8278,8276,7626,7218,4905,4969,2996,3305,1553,1956,641,1108,118,350,8,37,123172,122801,
"Central Coast",10011,9436,10976,10169,11274,10625,10555,9790,9390,9116,9185,9348,9342,10249,9937,10847,9910,10662,10551,11376,10774,11453,10698,11693,10405,11875,9537,11044,9190,10610,7064,8085,4735,5699,2471,3744,1176,2139,239,627,20,99,167425,178681,
"Central West",6532,6073,7255,6909,7613,7202,6811,6201,5978,5508,6146,6181,6446,6502,6296,6326,5897,5921,6377,6563,6732,6835,7026,6973,6979,6998,6311,6184,5945,5967,4273,4348,2633,3087,1403,2031,558,1030,99,299,8,38,107313,107181,
"Coffs Harbour - Grafton",3631,3621,4396,4031,4716,4608,4130,3889,3373,3185,3615,3697,3923,4112,4025,4171,3781,4152,4308,4664,4404,4930,4833,5333,5416,5837,5499,5659,5059,5055,3447,3648,2198,2524,1167,1608,491,819,117,262,8,37,72536,75844,
"Far West and Orana",3890,3717,3884,3762,3987,3710,3442,3155,3123,3085,3876,4056,3780,3963,3386,3532,3010,3158,3215,3266,3588,3696,3841,3916,4023,4001,3607,3427,3124,3030,2181,2284,1410,1713,731,1055,315,545,55,145,0,19,58475,59230,
"Hunter Valley exc Newcastle",9028,8586,10097,9474,10267,9703,9275,8483,8355,7870,8922,8967,9248,9568,8920,9321,8506,8557,8788,9213,8936,9273,8918,9304,8983,9422,8233,8571,7531,7701,5352,5556,3132,3533,1520,2174,605,1116,112,318,12,47,144749,146762,
"Illawarra",9218,8622,9726,9130,9964,9393,9657,9342,10704,10359,10224,9889,9573,10210,9518,10116,9246,9680,9776,10309,9289,9811,9624,10079,9245,9970,7916,8876,7301,7811,5347,5999,3703,4567,2094,3042,896,1545,188,454,13,45,153221,159247,
"Mid North Coast",5256,5065,6173,6024,7058,6728,6343,6028,4900,4663,4875,4973,4849,5414,5119,5643,5307,5787,6161,6737,6712,7454,7648,8645,8902,9987,9371,9661,9388,9415,6800,7051,4196,4667,2229,2962,953,1642,209,498,18,64,112464,119103,
"Murray",3648,3495,3922,3610,3920,3739,3570,3482,3161,3091,3519,3421,3304,3619,3321,3623,3264,3470,3492,3695,3781,3878,3944,4169,4270,4486,4024,4026,3806,3656,2586,2733,1668,2059,877,1173,394,630,82,199,3,27,60553,62280,
"New England and North West",5677,5043,6204,5976,6454,6238,5813,5823,5294,5163,5603,5682,5400,5759,5207,5414,4864,5153,5307,5572,5696,5842,6059,6166,6190,6416,5629,5568,5201,5141,3716,4016,2445,2951,1254,1709,448,918,77,236,11,32,92538,94811,
"Newcastle and Lake Macquarie",10847,10359,12054,11187,11834,11248,11394,10933,13155,12835,12853,12962,12676,13152,12388,12808,11231,11901,11692,12450,11696,12107,11353,12109,11168,12131,10155,11045,9122,10318,6995,7982,4455,5727,2526,3907,1179,2216,246,657,20,99,189023,198141,
"Richmond - Tweed",6343,6017,7493,7150,8312,7734,7077,6723,5778,5707,5960,6391,6508,7452,7182,7918,7067,8007,7923,8720,7915,8736,8587,9437,9460,10196,9127,9804,8327,8367,5655,5995,3585,4366,2044,2916,952,1630,217,497,23,68,125517,133848,
"Riverina",5161,5050,5572,5159,5589,5477,5640,5212,5377,5150,5530,5272,5412,5294,5085,5119,4659,4545,4847,4829,4931,5006,5082,5062,5136,5285,4514,4429,3789,3959,2724,2955,1941,2300,1057,1525,423,833,91,241,10,30,82577,82738,
"Southern Highlands and Shoalhaven",4165,3963,4588,4319,4875,4678,4417,4119,3714,3406,3870,3732,4073,4239,4110,4282,4063,4216,4481,4721,4773,5229,5264,5744,5846,6491,5833,6484,5934,6335,4410,4617,2805,3090,1474,1813,557,963,110,268,10,41,79381,82742,
"Sydney - Baulkham Hills and Hawkesbury",7409,7054,9883,9319,10616,9620,9500,8744,8193,7430,6237,5885,6404,7404,8891,10149,9778,10364,9614,10028,8720,9355,8048,8279,7139,7629,6239,6734,5467,5898,3958,4161,2344,2702,1276,1653,551,1010,163,317,14,49,130441,133793,
"Sydney - Blacktown",15562,14764,16177,15582,14944,14078,12696,11776,13953,12682,14229,13981,14968,16989,18130,18860,16182,15109,13049,12555,11051,11303,10083,10275,8669,9301,7111,7893,5832,6599,3664,4074,2213,2678,1076,1659,406,873,93,274,12,30,200105,201341,
"Sydney - City and Inner South",7068,6611,5231,5001,4793,4378,5098,5131,15788,15980,24763,24453,25255,22958,18842,16282,13742,11407,11141,9452,10142,8333,8773,7358,7261,6537,5501,5633,4769,4532,3106,3244,2086,2383,1095,1410,460,692,68,201,6,19,175000,161993,
"Sydney - Eastern Suburbs",6742,6450,6579,6406,6781,6542,6268,5859,7507,8111,11109,12912,12219,13319,10334,10887,8998,9337,8519,8910,7824,8355,7089,7159,5909,6445,5027,5592,4795,5605,3615,4353,2525,3279,1531,2154,737,1284,192,437,18,75,124318,133455,
"Sydney - Inner South West",19019,17652,18998,17716,18108,17073,17503,16128,22329,20244,24817,23327,24070,23923,22709,22491,19354,19648,18375,19332,17583,18986,17714,18171,15885,16982,13005,14262,11272,11982,8269,8997,5908,7305,3810,5106,1707,2699,371,854,36,104,300857,302969,
"Sydney - Inner West",7968,7544,7676,7525,7441,7421,6826,6630,11499,10703,14074,13976,14234,14553,12739,12655,10223,10721,9663,10677,8879,9989,8542,9415,7374,8167,6151,7203,5360,6253,3815,4481,2741,3444,1741,2400,801,1354,173,482,10,71,147911,155680,
"Sydney - North Sydney and Hornsby",11205,10475,13762,12885,13921,13352,12335,11589,11250,10843,11492,12291,13303,15169,15781,17741,15551,17252,14834,16382,13663,15274,12358,13341,10713,11819,9077,10661,8488,9992,6563,7643,4424,5490,2589,3660,1270,2170,306,804,29,95,202900,218931,
"Sydney - Northern Beaches",7179,6888,8318,7803,9336,8789,8443,7740,7114,6556,6538,6736,7408,8062,7946,9004,8874,9425,9871,10458,9300,9997,8609,8746,7236,7474,5827,6466,5402,6047,4341,5240,3103,3626,1685,2461,800,1489,250,449,11,90,127607,133552,
"Sydney - Outer South West",11242,10788,11594,11061,11039,10481,9913,9391,9456,9007,9405,10078,10185,11533,11117,12022,10088,10084,9587,9782,8476,8758,7947,8690,7429,8059,6306,6894,5358,5817,3398,3700,2011,2401,917,1376,294,731,93,232,5,28,145854,150913,
"Sydney - Outer West and Blue Mountains",11439,10599,11541,11029,11384,10768,10554,9896,10566,9942,10894,11301,11365,12304,11580,12275,10786,11059,10675,10998,10004,10664,9511,10036,9057,10077,7836,8662,6932,7610,4465,5041,2588,3307,1309,2018,448,987,98,341,5,55,163051,168967,
"Sydney - Parramatta",17083,15960,16722,16116,14846,14060,13041,12104,19303,16681,23809,21165,24132,23125,23512,21604,18482,16271,14671,14288,13321,13417,12663,13026,11335,11796,9271,9895,7561,7978,5405,5726,3615,4320,2124,2654,910,1487,211,497,20,57,252040,242233,
"Sydney - Ryde",5428,5315,6290,5905,5806,5509,5229,4978,6630,6266,7349,7632,8416,8949,8436,8863,7195,7474,6297,6605,5703,6274,5744,6176,5061,5749,4408,5127,3800,4136,2534,2916,1817,2449,1154,1674,615,1040,152,348,19,44,98096,103447,
"Sydney - South West",16548,15520,17394,16310,17026,16118,16577,15527,16693,15953,16752,16820,16364,17946,16770,17718,15076,15961,14688,15646,14322,14950,14397,14183,12741,13468,9952,10926,7946,8414,5289,5579,3392,4125,1895,2593,783,1302,169,346,19,57,234788,239460,
"Sydney - Sutherland",6767,6450,7422,6848,7608,7119,7207,6720,6552,6233,6232,6249,6507,7184,7195,7940,7329,7878,7935,8446,7349,7915,7023,7400,6632,7108,5673,6172,5049,5622,3794,4420,2455,3055,1522,2113,733,1403,161,400,20,66,111180,116726,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,0,10,0,9,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,
"Ballarat",4687,4633,5469,5094,5800,5411,5238,4955,4815,4743,5146,5272,5030,5212,4927,5405,4887,5318,5309,5694,5539,5896,5508,5875,5345,5853,5118,5585,4709,4996,3216,3496,2028,2295,1075,1529,419,850,106,278,5,28,84380,88419,
